title,description,Brand,imageName,Tags,price,Variation,subcategory,category
AEGIS BOOST PRO KIT,"
                 Geekvape Aegis Boost Pro Kit is the latest continuation of the Aegis series. Aegis Boost Pro is powered by a single replaceable external 18650 battery. The maximum output power is increased to 100W, which can produce huge flavor and strong steam, can hold up to 6mL of e-juice in a refillable pod, the new boost coil allows users to chase the best flavor. An ultimate Quadra vaping system boosts up vaping experience to pro, with a new design embodied both in and out-an upgraded Gen 2 three-inlet airflow control& a refreshing brand-new UI. Greater e-liquid capacity and newly designed Boost Coils. Built-in latest chipset, provide fast ignition and multiple protections, enjoy the highest performance consistent user experience. Compact with a Universal USB-C port, four vaping experiences can be switched on in hands at ease. Also its sturdy appearance and precise craftsmanship are impressive.ParametersDimension: 113.04 x 50.15 x 28.6mmMaterial: Plastic&Silicone&Leather&Zine AlloyWattage Output:5~100WBattery Type: Single 18650 Battery (Not included)Capacity:6mlRefill Method: Top fillingCoil Resistance:0.2ohm/0.4ohmResistance Range: 0.1-3ohmOutput Voltage: 0.1-6.5V(MAX 7V)Input Voltage: 3.2-4.25VDisplay Screen: 0.96inch (TFT Color Screen)Features-Powered by a single 18650 (not included)-Maximum output power is increased to 100W-0.96inch (TFT Color Screen) display shows vaping data-Built-in latest chipset, provide fast ignition and multiple protections-Three-inlet airflow control& a refreshing brand-new UI-Hold up to 6mL of e-juice in a refillable pod-Universal USB-C portPackage includes1x Aegis Boost Pro Kit1x USB cable1x User manual1x Promotion card1x Warranty card
                              ","BRAND:
GEEKVAPE",AEGIS BOOST PRO KIT.png,"POD SYSTEM,AEGIS,VAPE KIT,VAPING","$28.00,$28.00,$28.00,$28.00,$28.00,$28.00","ALMIGHTY BLUE,AURA GLOW,DEVIL RED,GUNMETAL,SILVER,SPACE BLACK",DEVICE,POD SYSTEMS
GEEKVAPE AEGIS BOOST PLUS KIT,"
                 GeekVape is a top brand in the vape industry featuring a premium line of  vape mods, pods, and tanks. The GeekVape Aegis Boost Plus Kit features an IP67 graded shockproof, waterproof, and dust-proof design. The compact yet robust design will easily fit in your pocket. Apart from its ergonomic design, the Geekvape Aegis Boost Plus features a powerful 18650 mAh battery which is ideal for your vaping requirements.  The pod is sealed ultrasonically for zero condensation. Easy access airflow valve design,Easy access top-refill Pod design,and Quick lock & release design for switching the pod make this a user friendly kit. GEEKVAPE AEGIS BOOST PLUS KIT FEATURES:Output power：5 - 40WInput voltage：3.2 - 4.25VOutput voltage：0.1 - 6.5VMinimum voltage：3.3V ± 0.1VResistance range：0.1Ω - 3.0ΩLongest output/vaping time：10sTemperature control：100℃ – 315℃ / 200℉ – 600℉Battery specification：18650(single battery)Charger voltage：Micro USB 5V/2ADisplay screen：0.96 inch(TFT Color screen)Pod Capacity：5.5mlShell material：Plastic + silicone + Leather+ Zine alloyDimension：49.5*28.6*114.2mmGEEKVAPE AEGIS BOOST PLUS KIT INCLUDES:1 * Aegis Boost Plus ( Pre-installed: G.Coil Boost Formula (Mesh) Coil 0.4Ω 25-33W, 5.5ml )1 * G.Coil Boost Formula (Mesh) Coil 0.6Ω 15-25W1 * Drip tip1 * USB Cable1 * User manual1 * Promotion card & warranty card
                              ","BRAND:
GEEKVAPE",GEEKVAPE AEGIS BOOST PLUS KIT.png,"GEEKVAPE,POD SYSTEM,AEGIS","$27.00,$27.00,$27.00,$27.00,$27.00,$27.00","ALMIGHTY BLUE,AURA GLOW,CLASSIC SILVER,DEVIL RED,GUNMETAL,SPACE BLACK",DEVICE,POD SYSTEMS
SUORIN RENO KIT,"
                 
Suorin Reno Kit is  a 3ml refillable pod with a 800mAh battery. It has 1.0ohm mesh coil and 100% imported organic cotton for pure flavor.  The straight airway design delivers a strong throat hit. Three-level LED battery indicator display remaining charge life. It comes with child-proof safety lock and 5-protection system. Product Highlight100% Imported Organic Cotton1.0ohm Mesh coilChild-proof LockLarge battery capacityThree-level LED battery indicatorPackage Content1 x Suorin Reno Device1 x cartridge2 x mesh coils1 x user manual1 x caution card1 x certificate card1 x warranty card1 x type-c USB
                              ","BRAND:
SUORIN",SUORIN RENO KIT.png,SUORIN,"$15.00,$15.00,$15.00,$15.00,$15.00","BLACK,GOLD,RED,SILVER,SPACE GRAY",DEVICE,POD SYSTEMS
SUORIN ELITE KIT,"
                 
The
 Suorin Elite Kit fits in the palm of your hand yet packs a powerful 
punch in its small, compact size. The Elite comes with 40W maximum 
output wattage and two mesh coils of 0.4 Ω and 1.0 Ω in a 3.1ml pod. The
 ergonomic design of the Suorin Elite Kit will fit comfortably in the 
palms of your hand. An 1100mAh battery means you can spend more time 
vaping and less time charging. But when you need to charge only 50 
minutes is needed for a full charge. Suorin is one of the major brands in the vape industry with a wide range of high-quality pod kits. A
 .96"" TFT Screen offers details including wattage, puffs, vaping time 
and battery life. Specifications:Size: 79.2x36x18 mm Cartridge Capacity: 3.1ml Coil Resistance: 1.0/0.4ΩBattery Capacity:1100mAh Max Output Wattage: 40W Working Voltage: 3.3-4.2V Charging Current: 1APackage Contents:1 x Suorin Elite device1 x Suorin Elite cartridge1 x Mesh Coil 0.4Ω1 x Wire Coil 1.0Ω1 x User manual1 x Warranty card
                              ","BRAND:
SUORIN",SUORIN ELITE KIT.png,SUORIN,"$22.00,$22.00,$22.00,$22.00,$22.00","BLUE,GOLD,GUNMETAL,RED,SILVER",DEVICE,POD SYSTEMS
GEEKVAPE ZEUS MESH COIL ,"
                 
 The GeekVape Zeus Mesh Coils are made specifically for the long awaited leak-proof Sub-Ohm tank, the Zeus Sub-Ohm Tank. The Zeus Subohm Tank retains the structural design concept of the original Zeus series with an upgraded quick change prebuilt coil system. Utilizing the latest technology of GV Mesh coil system to optimize E-liquid flavor and vapor production. The Zeus Sub-Ohm Tank is easily the best tank to date. The Zeus Mesh Coils utilize high grade KA1 (A1 Kanthal) and can handle more than enough in terms of power!GeekVape Aegis Boost Replacement Coil Features :           Resistance: Z1 KA1 0.4ohm Mesh Coil (60-70W) / Z2 KA1 0.2ohm Mesh Coil (70-80W)Fit for: GeekVape Zeus Sub Ohm TankWicking Material: Organic CottonCoil Material: A1 KanthalCoil Type: Mesh
                              ","BRAND:
GEEKVAPE",GEEKVAPE ZEUS MESH COIL .png,GEEKVAPE,"$9.50,$9.50","Z1 0.4 OHM,Z2 0.2 OHM",DEVICE,POD SYSTEMS
POSH PLUS 2ML DISPOSABLE - BOX OF 10,"
                 Posh Plus 2ml 6% Disposable Pod Device Features/Specs: All-in-one system Draw activated firing mechanism E-Liquid Capacity: 2ml Nicotine Strength: 60mg of Salt Nicotine Non-Refillable Up to 500 Puffs per pod.POSH PLUS DISPOSABLE - BOX OF 10 FEATURES:10 disposable pods per boxAll-in-one systemDraw activated firing mechanismE-Liquid Capacity: 2mlNicotine Strength: 60mg of Salt NicotineNon-RefillableUp to 500 Puffs per deviceFully DisposableAvailable Flavors:Frozen Strawberry | Minty Berry | Frosted Apple | Cali Peach | Mint IceWARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any
of SunshineNovelty.com’s parent and subsidiary companies are not held
responsible for any damage for any modification of the batteries, chargers,
devices and other products that we carry in any form or shape, this is
including pack making.


SunshineNovelty.com and any or all
of SunshineNovelty.com’s parent and subsidiary companies will not be held
responsible or liable for any injury, damage, or defect, permanent or temporary
that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion
Polymer) and any rechargeable battery and/or batteries as well as chargers.
Please have a greater understanding of the batteries and/or chargers you are
using and how to care for them properly. 
                              ","BRAND:
POSH",POSH PLUS 2ML DISPOSABLE - BOX OF 10.png,"POSH PLUS,2ML,DISPOSABLE,BOX OF 10","$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00","BANANA SMOOTHIE,CALI PEACH,CREAM BRULEE,FROSTED APPLE,FROZEN MANGO,FROZEN STRAWBERRY,MINT ICE,MINTY BERRY,MINTY LYCHEE,MINTY MELON",DEVICE,POD SYSTEMS
GEEKVAPE BOOST KIT 40W,"
                  Kit :The GeekVape Aegis Boost Kit is the lightest pod mod that supports a maximum of 40 watts, and equipped with a 1500mAh battery that can last for up to 36 hours. A one mod two system device that supports the usage of both Pod and RDTA, provided in the packaging are two coils and pods specifically designed for an MTL or DTL vaping experience. Incorporated with a design that provides users an easy access top-refill, manually adjustable leakproof airflow valve, quick-lock-release for switching pods, padded leather sleeve grip, and premium grade Kanthal coil intended for the best vaping experience. With food grade silicone rubber for sealing and waterproofing, corrosion-resistant Zinc alloy body frame, and tear-resistant leather sleeve, Aegis Boost is the best IP67 rated device for extreme outdoor usage.GEEKVAPE BOOST KIT 40W Features:Size: 106.8 * 27.7 * 39.2mmBattery: 1500mAh built-in batteryOutput Power: 5-40WInput voltage: 3.0-4.25VOutput voltage: 1.0-6.0VPod Capacity: 3.7mlCoil Resistance: 0.6ohm KA1 mesh coil(20-25W)Refill Method: Top fillingScreen: 0.42 inch OLED displayCharging: Micro USB, 5V/1.5AFiring speed: 0.08sMaterial: Zinc alloy + Top grain leather + siliconeColor: Aura Glow, Almighty Blue, Space Black, Devil Red, GunmetalIncludes:1 X Aegis Boost (Pre-installed: GV Boost Coil 0.4ohm 25-33W, capacity 3.7ml)1 X GV Boost coil (0.6ohm 15-25W)1 X Micro-USB cable1 X Coil tool1 X Drip tip1 X Promotion card & Warranty card1 X User manual
                              ","BRAND:
GEEKVAPE",GEEKVAPE BOOST KIT 40W.png,"GEEKVAPE,POD SYSTEM","$25.00,$25.00,$25.00,$25.00,$25.00","BLACK,BLUE,GUNMETAL,RAINBOW,RED",DEVICE,POD SYSTEMS
SUORIN SHINE POD SYSTEM,"
                SUORIN SHINE POD KITPod System Kit is a small discreet handheld vaping 
pod system, simple appearance, easy to carry. Suorin Shine Pod Kit body 
has a single-button trigger button, integrated 700mAh battery inside, 
can work all day. Suorin Shine Pod has a 2ml refillable pod capacity 
that is used to contain favorite e-juice, vaporizing it within the 
integrated 1.0ohm coil. The inbuilt 1.0ohm coil of Suorin Shine is best 
for high nic juice. The Suorin Shine Pod Kit brings pure flavor and 
dense clouds to the vapers. In addition, Suorin Shine Pod is firmly 
fixed to the pod system through a sturdy magnetized connection and can 
be easily released when pulled to facilitate replacement or refilling of
 the pod. Multiple colors to choose from.
Suorin Shine SUORIN SHINE POD KIT SYSTEM FEATURES :
Small and portable size, carry anywhere700mAh battery capacity for all-day useLED battery indicator2mL Capacity Juice Pod1.0ohm coil for natural and pure flavor Magnetic Pod ConnectionPackage Includes:1 x Suorin Shine device1 x Suorin Shine cartridge1 x User manual1 x Warranty cardWARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any
of SunshineNovelty.com’s parent and subsidiary companies are not held
responsible for any damage for any modification of the batteries, chargers,
devices and other products that we carry in any form or shape, this is
including pack making.


SunshineNovelty.com and
any or all of SunshineNovelty.com’s parent and subsidiary companies will
not be held responsible or liable for any injury, damage, or defect, permanent
or temporary that may be caused by the improper use of a Li-ion (Lithium-ion),
LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as
well as chargers. Please have a greater understanding of the batteries and/or
chargers you are using and how to care for them properly. 
                              ","BRAND:
SUORIN",SUORIN SHINE POD SYSTEM.png,"SUORIN,SHINE,POD SYSTEM","$15.00,$15.00,$15.00,$15.00,$15.00,$15.00,$15.00","BLACK,GOLD,GREEN,RED,SILVER,SPACE GRAY,TEAL BLUE",DEVICE,POD SYSTEMS
SUORIN AIR KIT,"
                 Fitting snugly in the palm of your hand, Suorin Air is an all-in-one (AIO) pod device that provides peerless portability and, when you want to be discreet, unmatched privacy as well. Just add your nicotine salts and vape away! The Suorin Air has no firing button — just take a draw when you’re ready to activate it. Out of charge? Recharge it via the USB port in just 40 minutes. Suorin Air is available in your choice of four colors: black, silver, gold, and gunmetal.The Suorin Air Starter Kit includes:   • 1x Suorin Air Ultra Portable System  • 1x Suorin Atomizer  • 1x USB Charging Cable  • 1x Warning Card  • 1x User Manual
                              ","BRAND:
SUORIN",SUORIN AIR KIT.png,"SUORIN,SUORIN AIR,KIT,POD SYSTEM","$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00","BLACK,DIAMOND BLUE,GOLD,GREY,GUN METAL,LIGHT GREEN,NAVY BLUE,RED,ROSE GOLD,SILVER",DEVICE,POD SYSTEMS
TRINITY ALPHA MOD BY SMOK,"
                 Here comes the SMOK Trinity Alpha Battery with beautiful resin streaks on both sides and 1000mAh built-in battery. The SMOK Trinity Alpha Battery US Edition is specially designed for United State market which is perfectly compatible with SMOK Trinity Alpha Pod. With the colorful resin decoration panels and outstanding designs, the Trinity Alpha Battery is a great combination of vape and art to bring an amazing visual enjoyment. The SMOK Trinity Alpha supports 10W-25W power output with three vaping modes - S(Soft)/N(Norm)/H(Hard) to meet your different vaping need. Pressing the Mode Button, you can switch the power output easily. Moreover, Trinity Alpha battery also features a unique lock button, you can fix or detach the pod easily just by pushing the button. Plus the big power button, intelligent battery life indicator and fast charging, the SMOK Trinity Alpha is definitely your best vape partner for great and easy daily vaping.Trinity Alpha Mod Features:Size: 38 x 16mmMaterial: Zinc AllyBattery Capacity: 1000mAhOutput Power: 10-25W(SOFT/NORM/HARD)Input Voltage: 3.3V-4.2VOutput Voltage: 2.4V-6.0VStandby Current: ＜200uA(No Load)/＜250uA(Load)Charger Output: DC 5V 1ACharging Voltage: 5VCharging Current: 0.7A(MAX)Compact and delicate pod battery with beautiful resin panels 1000mAh Built-in battery with ergonomically designed power buttonThree modes to satisfy different vaping demandsIntelligent battery life indicator and fast chargingUnique lock button for pod fixationPackage Includes:1 x Trinity Alpha Battery1 x USB Cable1 x User ManualWARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. Our company and any of our parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.Our company and any or all of our parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
SMOK",TRINITY ALPHA MOD BY SMOK.png,"SMOK,POD DEVICE,MOD","$16.00,$16.00,$16.00,$16.00,$16.00,$16.00","BLACK,BLUE,CHROME,GOLD,RAINBOW,RED",DEVICE,POD SYSTEMS
