title,description,Brand,imageName,Tags,price,Variation,subcategory,category
WULF NEXT,"
                 At 4 inches tall, this compact stunner incorporates incredible features like a 5-temp setting, magnetic mouthpiece and a 30 second heat up time for advanced sessions whether on the go or comfortable at home. Flavor at the palm of your hands, don’t miss out on the innovative, portable Wulf Next Vaporizer by Wulf Mods.WARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s
parent and subsidiary companies are not held responsible for any damage for any
modification of the batteries, chargers, devices and other products that we
carry in any form or shape, this is including pack making.

 

SunshineNovelty.com and any or all of SunshineNovelty.com’s
parent and subsidiary companies will not be held responsible or liable for any
injury, damage, or defect, permanent or temporary that may be caused by the
improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any
rechargeable battery and/or batteries as well as chargers. Please have a
greater understanding of the batteries and/or chargers you are using and how to
care for them properly.

                              ","BRAND:
EXXUS",WULF NEXT.png,"VAPORIZER,VAPE KIT,PORTABLE,WULF,MOD KIT","$40.00,$40.00,$40.00,$40.00,$40.00,$40.00","BLACK,BLUE,FULL COLOR,GREEN,GUNMETAL,RED",CARTRIDGE BATTERIES,BATTERIES & CHARGER
YOCAN APEX KIT,"
                 The latest wax concentrate vaporizer from Yocan brings you to the apex of your sessions. Introducing the Yocan Apex Vaporizer, a dab pen that’s outfitted with a single power button for simple and straightforward means of wax concentrate consumption allowing you to reap the benefits of your select materials with very little to no learning curve. It also has a threaded design that allows you to securely remove and replace its components for care and maintenance making the Yocan Apex Vaporizer a dab pen that’s truly easy for both beginners and advanced consumers. Apart from being user-friendly, the Yocan Apex Vaporizer also proves that it’s a versatile unit. This dab pen is equipped with preset temperature settings that allow you to switch the temperature level so you can adjust it depending on your preference. It’s a device that can keep up with your needs and offer more than what the average wax pen vaporizer.YOCAN APEX KIT SPEC:Powered By: Built-In 650mAh battery5 Click On/Off functionality3 Different Voltage options:Indicated by the lights located above the power buttonChanged by pressing the power button 3 timesWhite - 3.4VBlue - 3.8VGreen - 4.2VWave heating designThe voltage is output in waves after 4 seconds10 Second Pre-Heat Function:2 Click On/Off functionalityUtilizes the Yocan Armor Quartz Dual CoilFunctional Coil CapCharged through: Micro USBYOCAN APEX KIT PACKAGE CONTENT : 1 x Yocan Apex Device2 X Yocan QDC Coils1 X Mico USB Cable1 X Pick Tool1 X User ManualWARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
YOCAN",YOCAN APEX KIT.png,YOCAN,"$11.00,$11.00,$11.00,$11.00,$11.00,$11.00","APPLE GREEN,AZURE GREEN,BLACK,CHAMPAGNE GOLD,SAKURA PINK,SILVER",CARTRIDGE BATTERIES,BATTERIES & CHARGER
YOCAN UNI S VARIABLE VOLTAGE BATTERY,"
                 Check the Yocan UNI S Vaporizer Mod, which with the compact structure and smallest size, with the sold quality zinc alloy shell, delicate in metallic texture and non-scratch, provides the best vaping performance, durable and reliable, with patented universal width and height-adjustable design, which allows it will work with all kinds of oil atomizers, you do not worry that the atomizer is too tall or too short, will allow you to adjust the height of any vaporizers, the Yocan Mod also with the diameter adjustable design, you can rotate the dial to adjust the size of center hole to allows it compatible with the atomizers that the diameter not over 12mm. with the 10 seconds preheat function, which is best for preparing your materials before use, clicks the power button 2 times to activate the preheat mode, press the power button 2times to deactivate. the UNI-S features 3 levels adjustable voltage option for the best vaping experience based on your needs, press the power button 3times rapidly to change the output voltage between 2.5V, 3.0V and 3.5V. YOCAN UNI 400MAH VARIABLE VOLTAGE BATTERY SPEC:Compact DesignCharged through: USB Type-CMagnetic 510 connector ring is includedFive Click On/Off featureTwo Click 10 Second pre-heat featurePreheat functionalityActivated by clicking the power button 2 times.Preheat function runs for 10 secondsAdjustable Voltage3 Click the fire button to select your voltageVoltage level is indicated by three lights near the bottom of the device1 Light - 2.5V2 Lights - 3.0V3 Lights -3.5VAdjustable Cartridge HolderCompatible with atomizers that have a diameter of 6mm-14mmRotate the adjustment dial to adjust the inner diameter of the UNI to fit the atomizer of your choice.Built-in hanging hole to be used with lanyards or key ringsYOCAN UNI 400MAH VARIABLE VOLTAGE BATTERY PACKAGE CONTENT : 1 X Uni S Box Mod1 X Magnetic 510 Ring1 X USB Type-C Cable1 X Instruction ManualWARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
YOCAN",YOCAN UNI S VARIABLE VOLTAGE BATTERY.png,YOCAN,"$12.00,$12.00,$12.00,$12.00,$12.00","APPLE GREEN,BLACK,LIGHT BLUE,RED,SILVER",CARTRIDGE BATTERIES,BATTERIES & CHARGER
OOZE SLIM TWIST BATTERY 48CT DISPLAY,"
                 Showcase your Slim Pen Twist Batteries the right way with this new acrylic counter display. Perfect for gas stations, convenience stores, and any retail shop looking to make the customer experience better. 8 of each colors Included: BlackChromeGoldRainbowRedBlueWARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
OOZE",OOZE SLIM TWIST BATTERY 48CT DISPLAY.png,"VAPE BATTERY,VAPORIZER,PEN BATTERY,CARTRIDGE BATTERY",,,CARTRIDGE BATTERIES,BATTERIES & CHARGER
IMINI III MAGNETIC CLICK VARIABLE VOLTAGE KIT,"
                
                
              ","BRAND:
IMINI VAPORIZERS",IMINI III MAGNETIC CLICK VARIABLE VOLTAGE KIT.png,"NEW,HOT,HOT_HOMEPAGE,CBD BATTERY","$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00","BLACK,BLUE,CAMO,GOLD,GREEN,GREY,GUN METAL,LIGHT BLUE,RAINBOW,RED",CARTRIDGE BATTERIES,BATTERIES & CHARGER
YOCAN UNI UNIVERSAL VARIABLE VOLTAGE BOX MOD,"
                Yocan UNI 650mAh Box ModWe’re proud to introduce Yocan's latest product featuring our patented design – the Yocan UNI Box Mod. The Yocan UNI Box Mod features everything you came to love with Yocan products; ease of use, affordability, functionality, and practicality, and now we bring customization to the next level. The UNI Box Mod allows full customization of all cartridges and can adapt to any type, size, and length of any oil cartridge on the market. The key is its adjustable knobs located just right beneath the lips of the cartridge chamber and also an adjustable lever to adjust the height of the cartridge level so your oil cartridges will achieve a perfect fit making for a perfectly comfortable vaping session. Unlike other box mods or vaporizers that will create an awkward feel or a difficult and inconvenient feel and look because the cartridge simply won’t fit, the Yocan UNI Box Mod easily adjusts to the level of your cartridge allowing you to assume easy and convenient vaping sessions making it the perfect essential oil tool.Yocan UNI 650mAh Box Mod Features:For Oils Oil Level Window USB Charging 3 Voltage Levels10 Second Pre-HeatUniversal Box ModCompact And Portable 650mAh Battery Capacity 510-Threaded Magnetic Connection Adjustable Chamber Height And Width Brand New Patented DesignAvailable Colors:Full Black | Red Silver | Full Silver | Blue Silver | Black SilverPackage Includes:1 x Yocan UNI Box Mod1 x Magnetic 510 Base1 x User Manual1 x Micro USB CableWARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
YOCAN",YOCAN UNI UNIVERSAL VARIABLE VOLTAGE BOX MOD.png,"CBD BATTERY,YOCAN,CARTRIDGE BATTERY","$11.00,$10.00,$10.00,$11.00,$10.00,$11.00,$10.00,$10.00,$10.00,$11.00","24K GOLD,AIR BLUE,BLACK SILVER,BLUE PURPLE GRADIANT,BLUE SILVER,CAMO,FULL BLACK,MATT GOLD,MINT GREEN,RASTA",CARTRIDGE BATTERIES,BATTERIES & CHARGER
EXXUS TWISTER BATTERY,"
                 The Twistr is the latest 510 cartridge vaporizer by Exxus Vape. The Twistr is an easy to use vape pen that allow you to adjust the voltage with a twist! The twist settings at the base of the device allows for a custom vaping experience. Select form 2.0V all the way up to 4.2V. EXXUS TWISTER BATTERY Features:Select form 2.0V all the way up to 4.2VPreheat FunctionCapable of Vaping 510 Cartridges Includes:

1 USB Charger1 Exxus Tap VV Cartridge Vaporizer        

 
                              ","BRAND:
EXXUS",EXXUS TWISTER BATTERY.png,CBD BATTERY,"$6.50,$6.50,$6.50,$6.50,$6.50,$6.50,$6.50,$6.50,$6.50","BLACK,COSMIC BLACK,COSMIC BLUE,COSMIC GREEN,GOLD,GUN METAL,PEARL,RAINBOW,SILVER",CARTRIDGE BATTERIES,BATTERIES & CHARGER
EXXUS SNAP VV MINI CONCENTRATE VAPORIZER,"
                 Exxus Snap VV Variable Voltage Mini Vaporizer by Exxus Vape. A mini version of the original, this device employs the same characteristics adding top performance, high grade construction and of course stealth, compact use. Some specular features include accommodation for up to 11mm cartridges for a wide range of use, magnetic thread adapters for security, 4 voltage settings for precise sessions, micro USB charging and powered by a high rate discharge lithium ion battery for lasting usage. It doesn’t stop there, at just 2 inches tall and an inch wide this mini powerhouse is the perfect pair for all your oil cartridge counterparts. With a 510-thread connection switch and swap between your favorite cartridges with ease, enjoying every puff on the way.EXXUS SNAP VV MINI CONCENTRATE VAPORIZER Features:Mini version of the EXXUS Snap VV11mm CartridgeMagnetic AdaptorMicro USB Charging mechanism4 Voltage setting2 Inches tallColors: Black | Full Color | Gold | Gunmetal | Pearl | Silver | Gold Tech
                              ","BRAND:
EXXUS",EXXUS SNAP VV MINI CONCENTRATE VAPORIZER.png,"EXXUS,SNAP VV,MINI,CONCENTRATE,VAPORIZER","$14.00,$14.00,$14.00,$14.00,$14.00,$14.00,$14.00","BLACK,FULL COLOR,GOLD,GOLD TECH,GUNMETAL,PEARL,SILVER",CARTRIDGE BATTERIES,BATTERIES & CHARGER
EXXUS MINOVO CARTRIDGE VAPORIZER,"
                 The Exxus Minovo by Exxus Vape is a one of a kind device, it is the ultimate in stealth, discretion and an overall amazing experience. A petite stunner, you are not going to want to put it down! The Exxus Minovo includes a variety of features for a more pleasurable experience for the user. With the MINOVO you can enjoy preheat mode, colorful LED light indicators, magnetic adapters to keep your cartridge in place, variable voltage for the perfect heat and all powered by a long lasting 470mAh battery. Simply put, the Exxus Minovo has everything you need for an incomparable session.
EXXUS MINOVO CARTRIDGE VAPORIZER Features:Preheat functionalityLed IndicatorsMagnetic AdaptersVariable Voltage470mAh BatteryColors: Black Cobra | Cosmic Black Gold Cobra | Full Cobra | Gold Cobra | UnicornWARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s
parent and subsidiary companies are not held responsible for any damage for any
modification of the batteries, chargers, devices and other products that we
carry in any form or shape, this is including pack making. 



SunshineNovelty.com and any or all of SunshineNovelty.com’s
parent and subsidiary companies will not be held responsible or liable for any
injury, damage, or defect, permanent or temporary that may be caused by the
improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any
rechargeable battery and/or batteries as well as chargers. Please have a
greater understanding of the batteries and/or chargers you are using and how to
care for them properly.

                              ","BRAND:
EXXUS",EXXUS MINOVO CARTRIDGE VAPORIZER.png,"EXXUS,MINOVO,CARTRIDGE,VAPORIZER,DEVICE","$15.00,$15.00,$15.00,$15.00,$15.00","BLACK COBRA,COSMIC BLACK GOLD COBRA,FULL COBRA,GOLD COBRA,UNICORN",CARTRIDGE BATTERIES,BATTERIES & CHARGER
WULF DUO ,"
                WULF DUO Here at Wulf Mods we take great pride in developing innovative devices which push the envelope. One of our most recent achievements is the Wulf Duo by Wulf Mods. This compact and stealth oil vaporizer is chock full of powerful features like four voltage settings which will let you define your own vaping experience. It produces big clouds of vapor and renders amazing flavor on each draw.We know what vapers want from their device. They want portability. This is one of our most compact Wulf Mods vaporizers. It measures just 2.5” tall by 1..25” wide. You can easily drop it in your pocket or carry it in a handbag without concern. It's a great travel rig. As small as it is, though, we made sure we gave it lots of power. The internal 1000 mAh battery gives you plenty enough power to last through multiple vaping sessions on a single charge.The Wulf Duo by Wulf Mods also gives you four different voltage settings. You can choose from 3.4V, 3.6V, 3.8V, or 4.0V with simple one-button operation. We assigned different LED lights to the rig so that you'll know which voltage setting you are using. The rig consists of a mouthpiece and cartomizer which are recessed into the housing. This gives you added protection against accidental drops. There is even a magnetic adapter which will facilitate easy removal and insertion of the cartomizer.
                              ","BRAND:
EXXUS",WULF DUO .png,"WULF,","$22.00,$22.00,$22.00,$22.00,$22.00","BLACK,BLUE,GREEN,GUNMETAL,SILVER",CARTRIDGE BATTERIES,BATTERIES & CHARGER
