title,description,Brand,imageName,Tags,price,Variation,category
FREEMAX MAXLUKE TANK,"
                 Discover the FreeMaX Maxluke Sub-ohm Tank (or FireLuke 3), featuring a 5mL capacity, sliding top fill system, and 904L X Coil Series with Mesh and Tea Fiber. Also known as the FreeMaX FireLuke 3 TankFREEMAX MAXLUKE TANK FEATURES:27.5mm Diameter5mL Bubble Glass CapacityPyrex Glass ReinforcementSliding Top Fill System - Single Fill PortFreeMaX Maxluke Coil SeriesFM CoilTech 4.00.15ohm 904L X1 Mesh Coil - rated for 40-80W0.2ohm 904L X2 Mesh Coil - rated for 40-80WTea Fiber Cotton Wicking MaterialThreaded Coil InstallationDual Slotted Bottom Airflow Control Ring810 Widebore Drip Tip510 Threaded Connection
FREEMAX MAXLUKE TANK INCLUDES :1 x FreeMax Maxluke Tank (Resin Edition)1 x Extra 904L X1 Coil 0.15Ω1 x 3ml Honeycomb Glass(Pre-installed)1 x Extra 5ml Glass Tube1 x Extra O-ring1 x User Manual
                              ","BRAND:
FREEMAX",FREEMAX MAXLUKE TANK.png,FREEMAX,"$18.00,$18.00,$18.00,$18.00,$18.00,$18.00","RESIN BLACK,RESIN BLUE,RESIN GREEN,RESIN ORANGE,RESIN RED,RESIN YELLOW",TANKS
HORIZON FALCON 2 TANK,"
                 Horizon Falcon 2 Tank comes with a new fan-shaped coil, the tapered structure forms a bottom-up vapor compression path, which makes the flavor denser and the vapor smoother. Easy push top fill design to save your time. The way to change the coil is more convenient, can get rid of the trouble of dirty hands, and can replace the coil when the e-liquid is not completely used up.HORIZON FALCON 2 TANK FEATURES :Gold-Plated 510 ConnectionSloped Resin Widebore Drip Tip25mm Base Diameter28mm Glass Diameter3.4mL Juice Capacity5.2mL Maximum Juice Capacity - Bulb Glass EditionPlug 'n' Play Coil InstallationConical Tapered Mesh Coil Design - Compresses Flavor0.14ohm Sector Mesh Coil - rated for 70-75WBottom Airflow Control - Dual Slotted DesignHorizon Sector Mesh Coil TechnologyPush-to-Slide Top-Fill System - Button LockPyrex Glass ReinforcementSuperior Stainless Steel Construction
Package Contents:-1 pc Falcon II Tank1 pc Sector Coil1 pc 3.4ml Glass Tube1 pcs set of O rings
                              ","BRAND:
HORIZON TECH",HORIZON FALCON 2 TANK.png,FALCON,"$19.00,$19.00,$19.00,$19.00,$18.00","BLACK,BLUE,RAINBOW,ROSE GOLD,STAINLESS",TANKS
PULSAR APX WAX TANK - FULL METAL,"
                 This Pulsar APX Wax Full Metal Atomizer Tank is a certified Pulsar replacement part. It features a solid quartz heating chamber and a triple quartz coil element for quick, rich rips.PULSAR APX WAX TANK - FULL METAL FEATURES:Replacement for the APX Wax VaporizerTriple quartz coil atomizer for 5-second ripsCertified Pulsar replacement partSolid quartz chamberPACKAGE INCLUDES:1 APX Wax Full Metal MouthpieceWARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
PULSAR",PULSAR APX WAX TANK - FULL METAL.png,"PULSAR,APX,WAX METAL TANK",,,TANKS
PULSAR APX VOLT TANK - BLACKOUT METAL,"
                 The APX Volt Blackout Metal Atomizer Tank is a certified Pulsar Vaporizers replacement part. It features a pure quartz coil-less cup and borosilicate glass mouthpiece for unadulterated, rich rips. Replacement part for the APX Volt (V436). Includes dab tool and spare o-rings.PULSAR APX VOLT TANK - BLACKOUT METAL FEATURES:Pure quartz coil-less cupBattery0.4 ohm atomizer resistanceSturdy borosilicate glassLow temp capability for enhancing flavorIncludes dab tool & spare o-ringsCertified Pulsar Replacement PartColor: Blackout MetalPACKAGE INCLUDES:1 PULSAR APX VOLT TANK - BLACKOUT METALWARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
PULSAR",PULSAR APX VOLT TANK - BLACKOUT METAL.png,"PULSAR,APX,VOLT TANK,BLACKOUT METAL. EDITION",,,TANKS
PULSAR APX WAX BARB COIL TANK - BLACK OUT EDITION,"
                 These Pulsar APX Wax Barb Coil Atomizer Tank replacements are certified Pulsar parts. They feature solid ceramic heating chambers, dual ribbon twist Kanthal wrapped quartz coil elements, and either glass or metal mouthpieces.PULSAR APX WAX BARB COIL TANK BLACK OUT EDITION FEATURES:Replacement for the Pulsar APX WaxDual ribbon twist Kanthal wrapped quartz coilCertified Pulsar replacement partSolid ceramic chamberDual Quartz RodsRibbon Twist Kanthal CoilsRapid Heat UpExtra Flavor510-ThreadedColor: Black Out EditionPACKAGE INCLUDES:1 PULSAR APX Wax Barb Coil TankWARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
PULSAR",PULSAR APX WAX BARB COIL TANK - BLACK OUT EDITION.png,"PULSAR,APX,WAX BARB COIL,TANK,BLACKOUT EDITION",,,TANKS
UWELL CROWN IV TANK ,"
                UWELL CROWN IV TANK The UWELL Crown 4 IV is the ultimate flagship vape tank structure, introducing a new line of Crown coils with materials improvements, a simplified threaded top-fill system with 6mL maximum capacity, and a striking visual design. The Uwell Crown 4 presents a brand new patented self-cleaning technology within the atomizer core of the new Crown line of coils, absorbing excess eJuice into a condensation holder for later vaporization during usage. This helps reduce on wasted eJuice and lessens the need to clean the detachable structure of the tank. In addition, within the atomizers is the patented Pro Flavor Core Optimization System, or Pro-FOCS for short. This system recycles the in-taken air twice through the core of the atomizer to saturate the recycled draw with additional flavor from the vaporized eJuice. Also, the Crown IV Tank hosts a simplified quarter-turn threaded top fill system for faster refills and less downtime between cloud chucking sessions. Furthermore, the Crown 4 has a visually striking design, being hand-polished and knurled at the top and bottom ends, making airflow manipulation and unscrewing of the top fill system even easier.Uwell Crown 4 Sub-Ohm 28mm Tank Features:28mm Diameter5mL Standard Glass6mL Bubble Glass TankSuperior Stainless Steel ConstructionPyrex Glass ReinforcementQuarter Turn Threaded Top Refill SystemUwell Crown 4 Coil Line0.2ohm Dual SS904L Coil - rated for 70-80W0.4ohm Dual SS904L Coil - rated for 60-70W0.25ohm SS304 UN1 Coil - rated for 55-65W0.23ohm FeCrAl UN2 Coil - rated for 60-70WDual SS904L Coil - Corrosion-ResistanceDouble Helix Mesh CoilSelf Cleaning TechnologyPro-Flavor Optimization Core SystemDual Knurled Adjustable Bottom Airflow Control RingGold-Plated 510 Connection Detachable StructureAvailable in Black, Blue, Green, Rainbow, Purple, Stainless SteelIncludes:1 Uwell Crown IV (4) Tank1 Spare Glass Tube1 0.4ohm Dual SS904L Coil - rated for 60-70W1.0.2ohm Dual SS904L Coil - rated for 70-80W1 Pack of O-Rings1 User's Manual1 Drip Tip Cover
                              ","BRAND:
UWELL",UWELL CROWN IV TANK .png,,"$22.00,$22.00,$22.00,$22.00,$22.00,$22.00","BLACK,BLUE,GREEN,IRIDESCENT,PURPLE,STAINLESS",TANKS
PULSAR APX WAX TANK,"
                 This Pulsar APX Wax Replacement Triple Quartz Coil Atomizer Tank is a certified Pulsar replacement part. It features a solid quartz heating chamber and a triple quartz coil element for quick, rich rips.PULSAR APX WAX TANK FEATURES:Replacement for the APX Wax VaporizerTriple quartz coil atomizer for 5-second ripsCertified Pulsar replacement partSolid quartz chamberPACKAGE INCLUDES:1 PULSAR APX Wax TankWARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
PULSAR",PULSAR APX WAX TANK.png,"PULSAR,APX,WAX TANK",,,TANKS
FREEMAX FIRELUKE 2 TANK ,"
                Freemax Fireluke 2 TankThe FreeMaX FireLuke 2 Mesh Sub-Ohm Tank implements the new Tea Fiber FireLuke M Coils with 5mL maximum capacity, dual slotted bottom airflow, and push-to-open top-fill mechanism. The FireLuke 2 Tank features a 5mL maximum eJuice capacity, easily accessible via top-fill for ergonomic access. The key achievement lies within the new updated FireLuke Mesh Coils, now introducing a new Tea Fiber cotton while maintaining the high-level performance mesh design, optimizing for flavorsFreemax Fireluke 2 Tank Features:
 24mm Diameter5mL Max Juice CapacitySuperior Stainless Steel Chassis ConstructionSlide-to-Open Top-Fill Design - 8.5mm by 2.8mm Fill PortFill Port Vent Hole - Prevents Positive Pressure Build-UpDual Slotted Bottom Airflow Control - 11mm by 3.5mmFreeMaX Fireluke M Coil FamilyIntroducing New Tea Fiber Cotton0.15ohm TX1 Single Mesh Coil - 40-90W0.2ohm TX2 Dual Mesh Coil - 40-80WAnti-Spitback Widebore 810 Drip TipGold-Plated 510 Connection
Freemax Fireluke 2 Tank Include










 1 FreeMaX Fireluke 2 Tank1 0.2ohm TX2 Mesh Coil1 0.15ohm TX1 Mesh Coil1 5mL Spare Glass Replacement1 O-Ring Replacement 1 User Manual

                              ","BRAND:
FREEMAX",FREEMAX FIRELUKE 2 TANK .png,FREEMAX FIRELUKE 2 TANK,"$18.00,$18.00,$18.00,$18.00,$18.00,$18.00,$18.00,$18.00,$18.00,$18.00","BLACK,BLACK ( GRAFFITI EDITION ),BLUE,BLUE ( GRAFFITI EDITION ),GOLDEN,GREEN,GREEN ( GRAFFITI EDITION ),METAL BLUE,METAL RAINBOW,METAL STEEL",TANKS
PULSAR APX WAX ATOMIZER METAL,"
                 he Pulsar APX Wax Atomizer Tank - Black Out Edition is a replacement atomizer and mouthpiece for the Pulsar APX Wax vaporizer. The Pulsar APX Wax Atomizer Tank Black Out features a solid steel housing that's heat resistant, along with a triple quartz rod atomizer and quartz heating chamber. The quartz elements preserve the natural flavors and aromas of your waxy oils, and the triple coils provide enough heat to create large dab-like hitsPULSAR APX WAX ATOMIZER METAL FEATURES:Pure quartz chamberTriple quartz coil atomizer5-click button locking functionPowerful 1100mAh lithium battery1.5 hour charge timeAtomizer resistance - 0.7ohmVape ready lightMicro USB charging port5-minute safety auto shut offPULSAR APX WAX ATOMIZER METAL INCLUDES:1 PULSAR APX WAX ATOMIZER METAL
                              ","BRAND:
PULSAR",PULSAR APX WAX ATOMIZER METAL.png,,,,TANKS
FREEMAX MESH PRO METAL TANK,"
                
                
              ","BRAND:
FREEMAX",FREEMAX MESH PRO METAL TANK.png,,"$18.00,$18.00,$18.00,$18.00,$18.00,$18.00,$18.00,$18.00","BLACK,CARBON FIBER,GOLD,GREEN,GUN METAL,RAINBOW,STAINLESS,STEEL",TANKS
