title,description,Brand,imageName,Tags,price,Variation,category
SMOK SCAR P5 POD 3PK - EMPTY REPLACEMENT POD,"
                 WARNING: Please have a
great understanding and technical knowledge on how to use this product in order
to properly use it. There is always an inherent risk when using any
rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com
and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage
for any modification of the batteries, chargers, devices and other products
that we carry in any form or shape, this is including pack making.

SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable
for any injury, damage, or defect, permanent or temporary that may be caused by
the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any
rechargeable battery and/or batteries as well as chargers. Please have a
greater understanding of the batteries and/or chargers you are using and how to
care for them properly. 
                              ","BRAND:
SMOK",SMOK SCAR P5 POD 3PK - EMPTY REPLACEMENT POD.png,"COIL,REPLACEMENT PODS,REPLACEMENT PARTS,SCAR,P5","$3.00,$3.00","RPM,RPM2",COILS
SMOK SCAR P3 RPM POD 3PK - EMPTY REPLACEMENT POD,"
                 WARNING: Please have a
great understanding and technical knowledge on how to use this product in order
to properly use it. There is always an inherent risk when using any
rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com
and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage
for any modification of the batteries, chargers, devices and other products
that we carry in any form or shape, this is including pack making.

SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable
for any injury, damage, or defect, permanent or temporary that may be caused by
the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any
rechargeable battery and/or batteries as well as chargers. Please have a
greater understanding of the batteries and/or chargers you are using and how to
care for them properly. 
                              ","BRAND:
SMOK",SMOK SCAR P3 RPM POD 3PK - EMPTY REPLACEMENT POD.png,"COIL,REPLACEMENT PODS,REPLACEMENT PARTS,SCAR,P3",,,COILS
SMOK NOVO X POD 3PK CLEAR,"
                 WARNING: Please have a
great understanding and technical knowledge on how to use this product in order
to properly use it. There is always an inherent risk when using any
rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com
and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage
for any modification of the batteries, chargers, devices and other products
that we carry in any form or shape, this is including pack making.

SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable
for any injury, damage, or defect, permanent or temporary that may be caused by
the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any
rechargeable battery and/or batteries as well as chargers. Please have a
greater understanding of the batteries and/or chargers you are using and how to
care for them properly. 
                              ","BRAND:
SMOK",SMOK NOVO X POD 3PK CLEAR.png,"COIL,REPLACEMENT PODS,REPLACEMENT PARTS,NOVO","$6.00,$6.50","DC MTL 0.8,MESH 0.8",COILS
SMOK NORD 4 EMPTY REPLACEMENT POD,"
                 WARNING: Please have a
great understanding and technical knowledge on how to use this product in order
to properly use it. There is always an inherent risk when using any
rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com
and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage
for any modification of the batteries, chargers, devices and other products
that we carry in any form or shape, this is including pack making.

SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable
for any injury, damage, or defect, permanent or temporary that may be caused by
the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any
rechargeable battery and/or batteries as well as chargers. Please have a
greater understanding of the batteries and/or chargers you are using and how to
care for them properly. 
                              ","BRAND:
SMOK",SMOK NORD 4 EMPTY REPLACEMENT POD.png,"COIL,REPLACEMENT PODS,REPLACEMENT PARTS","$6.00,$6.00","RPM,RPM2",COILS
YOCAN FALCON PANCAKE DRY HERB COIL 5PK,"
                 WARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
YOCAN",YOCAN FALCON PANCAKE DRY HERB COIL 5PK.png,"YOCAN,REPLACEMENT COIL",,,COILS
YOCAN FALCON TRIPLE QUARTZ 5PK,"
                 WARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
YOCAN",YOCAN FALCON TRIPLE QUARTZ 5PK.png,"YOCAN,REPLACEMENT COIL",,,COILS
ALIEN APE ELECTRIC NECTAR COLLECTOR - COIL,"
                 Features: 1.2ohm resistance heating tipCeramic tipKit includes:5 ceramic tip atomizers 
                              ","BRAND:
ALIEN APE",ALIEN APE ELECTRIC NECTAR COLLECTOR - COIL.png,"NECTAR COLLECTOR,SILICONE,COILS,ALIEN APE",,,COILS
SMOK VAPE PEN V2 - DC 0.6 OHM,"
                 0.6 OHMs mesh by Smok for their Vape Pen V2.  Produces around 12-25W, faster heating and plumper taste.
                              ","BRAND:
SMOK",SMOK VAPE PEN V2 - DC 0.6 OHM.png,"SMOK,VAPE,REPLACEMENT COIL,MESH",,,COILS
SMOK VAPE PEN V2 - MESH 0.15 OHM,"
                 0.15 OHMs mesh by Smok for their Vape Pen V2.  Produces around 30-50W, even heating and massive vapor.
                              ","BRAND:
SMOK",SMOK VAPE PEN V2 - MESH 0.15 OHM.png,"SMOK,VAPE,REPLACEMENT COIL,MESH",,,COILS
VAPORESSO GTX COIL 5PK MESH,"
                 Shop the new Vaporesso GTX Replacement Coils, featuring compatibility with the Vaporesso Target 2, PM80 Pod System, and features a mesh heating element, delivering a rapidly even heating mesh coil. Comes in a pack of five (5).Vaporesso GTX Replacement Coils Features:GTX 0.3Ω - MESH 32-45W (Best:40W)GTX 0.6Ω - MESH 20-30W(Best:28W)GTX 0.8Ω -  MESH 12-20W (Best:18W)VAPORESSO GTX COIL 5PK MESH INCLUDES:1 x GTX RBA Coil(Main Unit)2 x Wire2 x Screw1 x O-ring 11 x O-ring 21 x Cotton1 x Screwdriver1 x User Manual
                              ","BRAND:
VAPORESSO",VAPORESSO GTX COIL 5PK MESH.png,"REPLACEMENT COILS,VAPORESSO","$8.00,$8.00,$8.00","0.3Ω,0.6Ω,0.8Ω",COILS
